Group	Sample	Taxa	Abundance
Sediment	JL309_PC11_1	d__Bacteria	0.6887
Sediment	JL309_PC12_1	d__Bacteria	0.7628
Sediment	JL310_G2_0_2	d__Bacteria	0.7242
Sediment	JL310_G4_2_4	d__Bacteria	0.6563
Water	JL310_W1.5L	d__Bacteria	0.9576
Coral__sc__Hexacorallia;o__Antipatharia;f__Schizopathidae	JL311_B01_2	d__Bacteria	0.092
Water	JL311_W2L	d__Bacteria	0.9752
Coral__sc__Octocorallia;o__Malacalcyonacea;f__Paramuriceidae	JL312_B19_3	d__Bacteria	0.9882
Coral__sc__Octocorallia;o__Scleralcyonacea;f__Primnoidae	JL313_B05	d__Bacteria	1.0
Water	JL314_W2L	d__Bacteria	0.9998
Coral__sc__Octocorallia;o__Scleralcyonacea;f__Keratoisididae	JL316_B01_7	d__Bacteria	0.9996
Water	JL317_W2L	d__Bacteria	0.9411
