	JL300_B04_2	JL300_B05	JL300_B21	JL300_W2L	JL301_B08	JL302_B05_2	JL303_B16	JL303_B26_2	JL303_B27	JL303_B29_2	JL304_2_6	JL304_B04	JL304_B13_e	JL304_B36	JL305_B08_3	JL305_B10	JL305_B13	JL305_W2L	JL306_B04	JL306_W2L	JL307_0_5	JL307_5_7	JL307_B07	JL307_B09_3	JL307_B11	JL307_B20_2	JL307_W2L	JL308_G5_0_2	JL308_G5_2_6	JL308_G7_2_6	JL308_G8_0_2	JL308_G8_0_2B	JL308_G8_2_6	JL308_G9_0_6	JL309_PC11_1	JL309_PC11_2	JL309_PC12_1	JL309_PC12_2	JL309_PC9_1	JL309_PC9_2	JL310_G2_0_2	JL310_G2_2_6	JL310_G3_0_2	JL310_G3_2_4	JL310_G4_0_2	JL310_G4_2_4	JL310_G5_0_2	JL310_G5_2_6	JL310_G6_0_2	JL310_G6_2_4	JL310_G6_4_6	JL310_G7_0_2	JL310_G7_2_4	JL310_W1.5L	JL311_B01_2	JL311_W2L	JL312_B19_3	JL313_B01_2	JL313_B05	JL314_W2L	JL316_B01_7	JL316_B11_2	JL316_B20_3	JL317_B01	JL317_B03	JL317_B09	JL317_W2L	JLOY1_2_10	PC02_2_6
Zotu152	50.1338	0.0084	0.0124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zotu194	0.0018	0.0	0.0124	0.0	0.0887	1.9988	0.0	0.0095	0.4857	0.0	0.0031	0.0	0.002	0.0015	0.0	0.0	0.0	0.0	0.7074	0.001	0.0	0.0	0.0	0.0	0.0	1.5017	0.0105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046	0.0	0.0	0.0063	0.0	0.0	0.156	0.0	0.0	0.0	0.0047	11.5948	0.0	0.0	0.0111	0.0	0.0	0.0	0.0
Zotu2	0.0	0.0048	0.0025	0.1548	0.5531	0.063	0.0345	0.0063	0.0087	0.0049	0.8729	0.0642	0.2196	0.0	0.0176	0.0035	0.0328	8.1525	0.0	21.9876	0.4106	0.0975	0.6917	59.2391	1.2711	0.3232	34.7542	0.0032	0.0	0.0	0.0	0.0	0.0035	0.0	0.0	0.003	0.0	0.0	0.293	0.1239	0.0052	0.0231	0.006	0.0026	0.0044	0.0015	0.0129	0.002	0.0013	0.002	0.1171	0.0094	0.0	91.1866	0.0089	73.9452	1.0053	31.2485	0.0019	16.3307	0.5025	3.1394	20.9724	0.001	0.0255	0.2967	44.5194	0.0075	0.0762
Zotu212	31.6215	0.0024	0.0	0.0022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zotu23	0.0	0.0	0.0	0.0604	0.0	0.0131	0.0026	0.0	0.0	0.0	3.3163	0.0	0.0	0.0	0.0027	0.0035	0.0185	38.6254	0.0	12.9559	0.3531	0.0515	0.0232	0.0907	0.0	0.1191	12.5509	0.0	0.0	0.0	0.0	0.0	0.0012	0.0	0.004	0.0	0.0019	0.0031	0.2911	0.1873	0.0031	0.0572	0.0096	0.0026	0.0022	0.0029	0.0504	0.0287	0.0013	0.002	0.0139	0.0333	0.0049	0.0733	0.0	3.6485	0.017	0.0452	0.0	0.3376	0.0	0.0	0.0869	0.0	0.0	0.0	1.6627	0.0066	0.0797
Zotu242	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4691	0.0	0.0	0.0023	15.8989	0.0	0.0	0.001	0.0	0.0	0.0614	0.0045	0.0	0.0	0.001	0.0	0.0	0.0	0.0063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zotu245	0.0165	10.3882	8.4684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011	0.0	0.0146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zotu27	0.0	0.0	0.0	0.0033	0.0	0.0053	0.0	0.0	0.0376	0.0	0.0302	0.0031	0.0	0.0	0.0	0.0421	0.0	0.002	0.0	0.0038	0.0553	0.0182	0.0	0.0	0.0	0.0	0.0	0.0076	0.0493	0.0	0.022	0.0279	0.1415	0.0209	0.0	0.002	0.0075	0.0063	0.0027	0.0041	0.0093	0.001	0.0181	0.0103	0.024	0.0029	0.0064	0.002	0.0144	0.0072	0.0	0.0062	0.0	0.0	90.6942	0.0	0.0	0.0	0.0	0.0	0.0	0.0864	0.1239	0.0	0.0022	0.0	0.0	0.0019	0.0671
Zotu276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.1972	0.0	0.0014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0259	0.0	21.2397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012	0.0	0.0643	0.0	0.0	0.0	0.0
Zotu28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.4052	0.0	0.0	0.0	0.0	0.0011	0.0032	0.0	0.0692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021	0.0023	0.0	0.001	0.001	0.0	0.0031	0.0	0.0031	0.0072	0.0	0.006	0.0039	0.0098	0.0	0.0	0.0	0.0013	0.001	0.0	0.0021	0.0	0.0	0.0356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0476	0.0	0.0	0.0	0.0	0.0066	0.0046
Zotu285	0.2512	0.6831	0.9995	0.0	0.0	0.0	0.0	0.0047	0.0549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.5357	0.0036	0.0703	0.0	0.0	0.0	0.0	0.0	0.0
Zotu466	0.0	0.0	0.0	0.0	23.7534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0056	0.0	0.0	0.0	0.0	0.0	0.0	0.0043	0.0	0.0	0.0
Zotu57	0.0	0.0012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.5566	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.3111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zotu58	0.0092	0.0	0.0075	0.0044	0.038	19.9412	0.0	0.0016	0.0029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0091	0.0	0.0057	0.0066	0.0021	0.0	0.025	0.0	0.0024	0.0019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0055	0.0007	0.0	0.0	0.0	0.0031	0.0	0.0031	0.0	0.0	0.0	0.0037	0.0	0.0	0.0	0.0	0.0063	0.0071	0.0107	0.0	0.0	0.0043	0.0021	0.0	0.0
Zotu59	0.0	0.0	0.0	0.6425	0.0	0.0026	0.0	0.0	0.0	0.0032	0.0	0.0	0.0	0.0	0.0	0.0012	0.0062	0.25	0.0	0.0247	0.0	0.0	0.0055	0.3528	12.9002	0.0	0.0723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031	0.0337	0.0676	0.0052	0.0211	0.0072	0.0026	0.0044	0.0	0.0139	0.0257	0.0026	0.0204	0.0	0.0062	0.0	0.0	0.0011	0.0	0.0	0.0	0.0	59.0925	0.0	0.0	0.0024	0.0	0.0	0.0	4.7255	0.0028	0.0
Zotu64	0.0	0.0	0.005	0.0	0.0	0.0	0.0	54.2148	0.0029	0.0	0.0	0.0	0.001	0.0088	0.0	0.0	0.0	0.0	0.0	0.0	0.0398	0.0257	0.0	0.0	0.0092	0.0364	0.0	0.0054	0.0082	0.0	0.0105	0.0031	0.0433	0.0012	0.0	0.0041	0.015	0.0188	0.0018	0.0225	0.0227	0.011	0.0145	0.0013	0.012	0.0007	0.0032	0.0	0.0039	0.0	0.0	0.0031	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0063	0.0059	0.0107	0.0	0.0	0.0	0.0	0.0009	0.0114
Zotu71	1.4411	8.7056	12.8817	0.0	0.0	0.0105	0.1865	0.0332	0.4481	0.657	0.0	0.0	0.0	0.0	0.081	0.0339	0.0	0.0	0.0	0.0	0.0	0.0	0.0055	0.0045	0.1223	0.0024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1524	0.0	0.1695	0.0	0.0	0.0	77.2253	0.0947	0.8195	0.0	0.0	0.0	0.0	0.0	0.0
Zotu74	0.0073	59.5123	24.8508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0397	0.0	0.0073	0.0	0.0	0.0	0.0	0.0031	0.0072	0.0	0.0	0.0	0.0	0.0	0.0042	0.0	0.0	0.001	0.0	0.0	0.0013	0.0011	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019	0.0	0.0	0.0079	0.0	0.0012	0.001	0.0	0.0	0.0	0.0009	0.0
Zotu84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0091	0.0029	0.0	0.0082	32.9807	0.0	0.0	0.0105	0.0	0.0	52.0991	0.0181	0.0	0.0	0.0	0.0	0.0	0.0	0.0063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zotu9	0.0	0.0012	0.0	0.0033	0.0296	0.0	0.0	0.0	0.0	0.0049	0.0	0.3789	0.7675	0.0	0.0	0.0	0.0	0.002	0.0	0.0076	0.0	0.0	0.2742	20.2239	0.0023	0.175	0.0076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0027	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4199	0.0011	0.5946	0.4798	0.7159	0.0	0.0764	0.457	1.228	44.9725	0.002	0.0155	0.7513	0.0701	0.0	0.0
Zotu90	0.0055	0.0012	0.0	0.0	0.0	66.1536	0.0	42.5594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0142	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zotu96	0.0	0.0	0.0	0.2921	0.0	0.0	0.0	0.0	0.0	0.0	0.0375	0.0015	0.0	0.0	0.0	0.0	0.0	0.4035	0.0	0.6306	0.0819	0.0075	0.0	0.0	0.0	0.0	2.186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0082	0.0	0.001	0.0	0.0	0.0	0.0	0.0131	0.0075	0.0	0.0013	0.0102	0.0	0.001	0.0	0.0314	0.0	0.1307	0.0	0.0	0.0	21.8207	0.0	0.0	0.0012	0.0	0.0	0.0	23.7519	0.0	0.0011
Zotu97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4712	0.0	0.0	0.0	0.0012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.5605	0.0	0.0	0.0	0.0
Zotu98	0.0018	0.0036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021	0.0	0.0	0.0073	0.0	0.0129	32.0581	0.0	0.0	0.0133	0.0	0.0011	39.2998	0.0034	0.0046	0.0073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012	0.0	0.0	0.047	0.0	0.0	0.0
