	c__Anthozoa;o__Antipatharia;f__Cladopathidae;g____JL304_B13_e	c__Anthozoa;o__Antipatharia;f__Cladopathidae;g____JL305_B13	c__Anthozoa;o__Antipatharia;f__Cladopathidae;g____JL307_B07	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL303_B16	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL303_B29_2	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL304_B04	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL305_B10	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL311_B01_2	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL317_B03	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Parantipathes__JL305_B08_3	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Parantipathes__JL307_B11	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g____JL317_B01	c__Anthozoa;o__Malacalcyonacea;f__Paramuriceidae;g__Acanthogorgia__JL312_B19_3	c__Anthozoa;o__Malacalcyonacea;f__Plexauridae;g__Paramuricea__JL302_B05_2	c__Anthozoa;o__Malacalcyonacea;f__Plexauridae;g__Paramuricea__JL303_B26_2	c__Anthozoa;o__Malacalcyonacea;f__Victorgorgiidae;g__Victorgorgia__JL300_B04_2	c__Anthozoa;o__Scleralcyonacea;f__Chrysogorgiidae;g__Chrysogorgia__JL313_B01_2	c__Anthozoa;o__Scleralcyonacea;f__Chrysogorgiidae;g__Chrysogorgia__JL316_B20_3	c__Anthozoa;o__Scleralcyonacea;f__Coralliidae;g__Anthomastus__JL306_B04	c__Anthozoa;o__Scleralcyonacea;f__Coralliidae;g__Hemicorallium__JL303_B27	c__Anthozoa;o__Scleralcyonacea;f__Keratoisididae;g__Keratoisis__JL316_B01_7	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Calyptrophora__JL300_B05	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Calyptrophora__JL300_B21	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Candidella__JL313_B05	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Narella__JL301_B08	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Narella__JL304_B36	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Narella__JL307_B20_2	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Narella__JL317_B09	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g____JL307_B09_3	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g____JL316_B11_2	sediment__JL304_2_6	sediment__JL307_0_5	sediment__JL307_5_7	sediment__JL308_G5_0_2	sediment__JL308_G5_2_6	sediment__JL308_G7_2_6	sediment__JL308_G8_0_2	sediment__JL308_G8_0_2B	sediment__JL308_G8_2_6	sediment__JL308_G9_0_6	sediment__JL309_PC11_1	sediment__JL309_PC11_2	sediment__JL309_PC12_1	sediment__JL309_PC12_2	sediment__JL309_PC9_1	sediment__JL309_PC9_2	sediment__JL310_G2_0_2	sediment__JL310_G2_2_6	sediment__JL310_G3_0_2	sediment__JL310_G3_2_4	sediment__JL310_G4_0_2	sediment__JL310_G4_2_4	sediment__JL310_G5_0_2	sediment__JL310_G5_2_6	sediment__JL310_G6_0_2	sediment__JL310_G6_2_4	sediment__JL310_G6_4_6	sediment__JL310_G7_0_2	sediment__JL310_G7_2_4	sediment__JLOY1_2_10	sediment__PC02_2_6	water__JL300_W2L	water__JL305_W2L	water__JL306_W2L	water__JL307_W2L	water__JL310_W1.5L	water__JL311_W2L	water__JL314_W2L	water__JL317_W2L
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0509	NA	NA	NA	58.7159	NA	NA	NA	NA	NA	NA	0.0037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA11136;f__UBA11136;g__UBA11136	85.5566	NA	0.3111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001	NA	NA	NA	NA	NA
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Arenicellales;f__Poriferihabitantaceae;g__WLWT01	0.0132	18.5231	NA	NA	NA	0.0107	0.0047	NA	0.0044	NA	NA	NA	NA	NA	NA	NA	NA	0.0036	NA	NA	NA	NA	NA	NA	NA	0.0044	NA	NA	NA	0.0047	NA	0.0055	NA	0.0011	NA	NA	NA	NA	NA	NA	NA	0.001	NA	NA	0.0009	0.0031	NA	NA	NA	NA	0.0076	NA	NA	NA	0.0013	NA	0.0046	0.0021	NA	NA	NA	NA	NA	0.0067	NA	NA	NA	NA	NA
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas	0.2196	0.0328	0.6917	0.0345	0.0049	0.0642	0.0035	0.0089	0.0255	0.0176	1.2711	0.001	1.0053	0.063	0.0063	NA	31.2485	20.9724	NA	0.0087	0.5025	0.0048	0.0025	0.0019	0.5531	NA	0.3232	0.2967	59.2391	3.1394	0.8729	0.4106	0.0975	0.0032	NA	NA	NA	NA	0.0035	NA	NA	0.003	NA	NA	0.293	0.1239	0.0052	0.0231	0.006	0.0026	0.0044	0.0015	0.0129	0.002	0.0013	0.002	0.1171	0.0094	NA	0.0075	0.0762	0.1548	8.1525	21.9876	34.7542	91.1866	73.9452	16.3307	44.5194
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Cellulosimicrobium	0.7675	NA	0.2742	NA	0.0049	0.3789	NA	0.0011	0.0155	NA	0.0023	0.002	0.4798	NA	NA	NA	0.7159	44.9725	NA	NA	0.457	0.0012	NA	NA	0.0296	NA	0.175	0.7513	20.2239	1.228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001	0.0027	0.002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0033	0.002	0.0076	0.0076	0.4199	0.5946	0.0764	0.0701
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas	NA	0.0185	0.0232	0.0026	NA	NA	0.0035	NA	NA	0.0027	NA	NA	0.017	0.0131	NA	NA	0.0452	0.0869	NA	NA	NA	NA	NA	NA	NA	NA	0.1191	NA	0.0907	NA	3.3163	0.3531	0.0515	NA	NA	NA	NA	NA	0.0012	NA	0.004	NA	0.0019	0.0031	0.2911	0.1873	0.0031	0.0572	0.0096	0.0026	0.0022	0.0029	0.0504	0.0287	0.0013	0.002	0.0139	0.0333	0.0049	0.0066	0.0797	0.0604	38.6254	12.9559	12.5509	0.0733	3.6485	0.3376	1.6627
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Moritellaceae;g__Moritella	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.9412	0.0016	0.0092	NA	0.0107	NA	0.0029	0.0063	NA	0.0075	NA	0.038	NA	0.0024	0.0043	0.025	0.0071	NA	0.0066	0.0021	NA	NA	NA	NA	NA	NA	NA	NA	0.001	NA	NA	NA	NA	NA	0.002	NA	NA	0.0055	0.0007	NA	NA	NA	0.0031	NA	0.0031	NA	NA	NA	0.0044	0.0091	0.0057	0.0019	NA	0.0037	NA	0.0021
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__CAKMYR01	0.1972	NA	0.0259	NA	NA	0.11	NA	NA	0.0643	0.0014	21.2397	NA	NA	NA	NA	NA	NA	0.0012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__DT-91;g__CAKMZU01	NA	NA	0.0041	NA	NA	18.8396	NA	NA	NA	NA	0.0069	NA	0.0102	0.0079	NA	0.0018	0.0245	0.7992	NA	0.931	1.8013	0.0585	2.9264	95.3989	44.5134	94.1571	0.0267	56.6477	0.0499	0.4903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Endozoicomonadaceae;g__Endozoicomonas	0.0051	NA	0.011	0.1865	0.657	NA	0.0339	0.1524	NA	0.081	0.1223	NA	0.1695	0.0105	0.0458	1.6923	0.0019	0.8981	NA	0.5232	90.783	25.4983	51.2357	0.0056	23.7534	NA	0.1142	0.0043	0.015799999999999998	0.0995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	NA	0.0062	0.0055	NA	0.0032	NA	0.0012	0.0011	NA	NA	12.9002	NA	NA	0.0026	NA	NA	NA	0.0024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0031	0.0337	0.0676	0.0052	0.0211	0.0072	0.0026	0.0044	NA	0.0139	0.0257	0.0026	0.0204	NA	0.0062	NA	0.0028	NA	0.6425	0.25	0.0247	0.0723	NA	NA	59.0925	4.7255
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Halopseudomonas	NA	NA	NA	NA	NA	0.0015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0375	0.0819	0.0075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0082	NA	0.001	NA	NA	NA	NA	0.0131	0.0075	NA	0.0013	0.0102	NA	0.001	NA	NA	0.0011	0.2921	0.4035	0.6306	2.186	0.0314	0.1307	21.8207	23.7519
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.5565	NA	0.0032	NA	NA	NA	NA	0.0058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__UBA7359	NA	32.0581	39.2998	NA	NA	NA	0.0129	NA	NA	NA	0.0046	NA	NA	NA	NA	0.0018	NA	0.0012	NA	NA	NA	0.0036	NA	NA	NA	0.0073	0.0073	0.047	0.0034	NA	0.0021	NA	0.0011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0133	NA	NA	NA	NA	NA
