	c__Anthozoa;o__Antipatharia;f__Cladopathidae;g____JL304_B13_e	c__Anthozoa;o__Antipatharia;f__Cladopathidae;g____JL305_B13	c__Anthozoa;o__Antipatharia;f__Cladopathidae;g____JL307_B07	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL303_B16	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL303_B29_2	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL304_B04	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL305_B10	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL311_B01_2	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Bathypathes__JL317_B03	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Parantipathes__JL305_B08_3	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g__Parantipathes__JL307_B11	c__Anthozoa;o__Antipatharia;f__Schizopathidae;g____JL317_B01	c__Anthozoa;o__Malacalcyonacea;f__Paramuriceidae;g__Acanthogorgia__JL312_B19_3	c__Anthozoa;o__Malacalcyonacea;f__Plexauridae;g__Paramuricea__JL302_B05_2	c__Anthozoa;o__Malacalcyonacea;f__Plexauridae;g__Paramuricea__JL303_B26_2	c__Anthozoa;o__Malacalcyonacea;f__Victorgorgiidae;g__Victorgorgia__JL300_B04_2	c__Anthozoa;o__Scleralcyonacea;f__Chrysogorgiidae;g__Chrysogorgia__JL313_B01_2	c__Anthozoa;o__Scleralcyonacea;f__Chrysogorgiidae;g__Chrysogorgia__JL316_B20_3	c__Anthozoa;o__Scleralcyonacea;f__Coralliidae;g__Anthomastus__JL306_B04	c__Anthozoa;o__Scleralcyonacea;f__Coralliidae;g__Hemicorallium__JL303_B27	c__Anthozoa;o__Scleralcyonacea;f__Keratoisididae;g__Keratoisis__JL316_B01_7	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Calyptrophora__JL300_B05	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Calyptrophora__JL300_B21	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Candidella__JL313_B05	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Narella__JL301_B08	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Narella__JL304_B36	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Narella__JL307_B20_2	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g__Narella__JL317_B09	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g____JL307_B09_3	c__Anthozoa;o__Scleralcyonacea;f__Primnoidae;g____JL316_B11_2	sediment__JL304_2_6	sediment__JL307_0_5	sediment__JL307_5_7	sediment__JL308_G5_0_2	sediment__JL308_G5_2_6	sediment__JL308_G7_2_6	sediment__JL308_G8_0_2	sediment__JL308_G8_0_2B	sediment__JL308_G8_2_6	sediment__JL308_G9_0_6	sediment__JL309_PC11_1	sediment__JL309_PC11_2	sediment__JL309_PC12_1	sediment__JL309_PC12_2	sediment__JL309_PC9_1	sediment__JL309_PC9_2	sediment__JL310_G2_0_2	sediment__JL310_G2_2_6	sediment__JL310_G3_0_2	sediment__JL310_G3_2_4	sediment__JL310_G4_0_2	sediment__JL310_G4_2_4	sediment__JL310_G5_0_2	sediment__JL310_G5_2_6	sediment__JL310_G6_0_2	sediment__JL310_G6_2_4	sediment__JL310_G6_4_6	sediment__JL310_G7_0_2	sediment__JL310_G7_2_4	sediment__JLOY1_2_10	sediment__PC02_2_6	water__JL300_W2L	water__JL305_W2L	water__JL306_W2L	water__JL307_W2L	water__JL310_W1.5L	water__JL311_W2L	water__JL314_W2L	water__JL317_W2L
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter__Zotu112												35.1118					0.0019											0.0107																																									
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter__Zotu137												26.9536											0.0149					0.0213						0.0011	0.0035			0.001	0.007					0.0052	0.0018		0.0041	0.001	0.0048				0.0075		0.0026			0.0021											
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__UBA2767__Zotu242	5.4691	15.8989	0.0614				0.0023										0.0019						0.005						0.0045								0.0063																											0.001	0.001				
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__UBA2767__Zotu84	0.0091	32.9807	52.0991				0.0082																			0.0029			0.0181								0.0063																											0.0105					
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria__Zotu125													0.0509				58.7159							0.0037																																													
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA11136;f__UBA11136;g__UBA11136__Zotu57	85.5566		0.3111																			0.0012																																										0.001					
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Arenicellales;f__Poriferihabitantaceae;g__WLWT01__Zotu12	0.0132	18.5231				0.0107	0.0047		0.0044									0.0036								0.0044				0.0047		0.0055		0.0011								0.001			0.0009	0.0031					0.0076				0.0013		0.0046	0.0021						0.0067					
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas__Zotu2	0.2196	0.0328	0.6917	0.0345	0.0049	0.0642	0.0035	0.0089	0.0255	0.0176	1.2711	0.001	1.0053	0.063	0.0063		31.2485	20.9724		0.0087	0.5025	0.0048	0.0025	0.0019	0.5531		0.3232	0.2967	59.2391	3.1394	0.8729	0.4106	0.0975	0.0032					0.0035			0.003			0.293	0.1239	0.0052	0.0231	0.006	0.0026	0.0044	0.0015	0.0129	0.002	0.0013	0.002	0.1171	0.0094		0.0075	0.0762	0.1548	8.1525	21.9876	34.7542	91.1866	73.9452	16.3307	44.5194
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Cellulosimicrobium__Zotu9	0.7675		0.2742		0.0049	0.3789		0.0011	0.0155		0.0023	0.002	0.4798				0.7159	44.9725			0.457	0.0012			0.0296		0.175	0.7513	20.2239	1.228														0.001	0.0027	0.002																0.0033	0.002	0.0076	0.0076	0.4199	0.5946	0.0764	0.0701
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas__Zotu23		0.0185	0.0232	0.0026			0.0035			0.0027			0.017	0.0131			0.0452	0.0869									0.1191		0.0907		3.3163	0.3531	0.0515						0.0012		0.004		0.0019	0.0031	0.2911	0.1873	0.0031	0.0572	0.0096	0.0026	0.0022	0.0029	0.0504	0.0287	0.0013	0.002	0.0139	0.0333	0.0049	0.0066	0.0797	0.0604	38.6254	12.9559	12.5509	0.0733	3.6485	0.3376	1.6627
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Moritellaceae;g__Moritella__Zotu58														19.9412	0.0016	0.0092		0.0107		0.0029	0.0063		0.0075		0.038		0.0024	0.0043	0.025	0.0071		0.0066	0.0021									0.001						0.002			0.0055	0.0007				0.0031		0.0031				0.0044	0.0091	0.0057	0.0019		0.0037		0.0021
